code,wgs_lon,wgs_lat,addr,name,pk,use_type,use_name,update_year,floors,update_status,lon_gcj02,lat_gcj02
4403050070150100122,113.95421311321654,22.545476188232673,南山区南海大道3688号,低植易耗品配送中心门卫室,03dd8ef121b84aa4b26d93a4d0e38494,8,科教/education,2022,1,1,113.93696243,22.53973707
4403050070020100004,113.9403842477416,22.52250909649068,南海大道2618号,粤海街道办事处,010bed5bc2824ebbbd2096baf2ff3941,7,混合/mixed,2022,8,1,113.92317285,22.51679406
4403050070120100025,113.94179251881319,22.51684872693107,兴南路54号4栋,南油B区14栋,00091737d5d54ca4809d7b6770cffed4,2,商业/commercial,2022,6,1,113.92457956,22.51113389
4403050070120300002,113.94080413630762,22.518307637071832,南商路22号9栋,南油B区64栋,19ebe8a1b3ed419eb0a982e0ecfb2b3e,2,商业/commercial,2022,6,1,113.92359292,22.51259339
4403050070120500006,113.9395611467092,22.514320095363818,建南路5号,南油A区1栋,187a71572bd646adaa31c2bbf7f487ce,2,商业/commercial,2022,6,1,113.92235353,22.50860822
4403050070060100084,113.94349180455116,22.517658243376996,后海村54号,后海村54号,12620c7d2d7d43a0b25b8f3d73cb77dc,2,商业/commercial,2022,8,1,113.9262749,22.51194133
44030500701202T0015,113.93870800433044,22.51839306800479,深圳市地贴9号线西延线南油站项目临建（工人宿舍九栋）,深圳市地贴9号线西延线南油站项目临建（工人宿舍九栋）,0f589aab4bc94f01989f30955d55d47c,2,商业/commercial,2022,2,1,113.92150109,22.5126808
4403050070060200008,113.94327202800848,22.51602022239441,华明路17号,怡海花园9栋,0da647ef1e3c478daab97a8b7f77963c,2,商业/commercial,2022,7,1,113.92605603,22.51030403
4403050070050600005,113.94442664375327,22.526232260447962,后海大道2551号,青少年活动中心,ebd6a8db41674b08ad7066388bc0b3dd,1,住宅/residential,2022,3,1,113.92720545,22.52051183
4403050070060100071,113.94378103674144,22.517981012937653,后海村75号,后海村75号,e86f610d92f14f8aabae569a6916e2f4,2,商业/commercial,2022,7,1,113.9265634,22.51226368
4403050070060200013,113.94370162238216,22.51539410152642,后海大道2061号,后海别墅A06,e7d41175f8ab42b7a2c336cceb12acc6,2,商业/commercial,2022,3,1,113.92648482,22.50967761
4403050070060200005,113.94277017793999,22.515482383390513,华明路17号,怡海花园5栋,e7249aefbd3f4b46b84d8ea15339a96e,2,商业/commercial,2022,7,1,113.92555543,22.5097669
4403050070140400027,113.94911828593138,22.517341909860427,华明路1号,蔚蓝海岸二期23栋,e64ef4ba66924187832518224cd2cdb7,2,商业/commercial,2022,28,1,113.9318881,22.51161809
4403050070120100010,113.94286175321764,22.51884906993432,后海工业区8栋,后海工业区8栋,da926837d3eb4489a190123da07415b5,1,住宅/residential,2022,7,1,113.92564595,22.51313251
4403050070160500008,113.94401370030006,22.53462235693062,桂庙新村29、31号,桂庙新村29、31号,d69660a944b94bef9c965407c8427ddd,1,住宅/residential,2022,4,1,113.92679132,22.52890007
4403050070060100156,113.94401426540213,22.51735455716554,后海村23-1号,后海村23-1号,d553715fba51434ea2130cd42ad7630e,1,住宅/residential,2022,0,1,113.92679626,22.51163714
4403050070060100043,113.9438734072456,22.51850179841719,后海村113号,后海村113号,d398b6b1dc46431285da40db8f74fb02,2,商业/commercial,2022,3,1,113.92665543,22.51278421
4403050070090100004,113.9402790150073,22.521116895207637,登良路48号 龙城花园23栋,龙城花园23栋,d2b796fc45ba4a37b79a80a22993574f,2,商业/commercial,2022,7,1,113.92306819,22.51540236
