community_id,lng,lat,population,A_day_raw,A_night_raw,A_day_norm,A_night_norm,TPI,accessibility_gap,accessibility_ratio,SAII,TPI_level
317,113.921299,22.534307,4257,0.029204989226780775,0.002410077648978513,0.08693090290705408,0.08802937001018385,1.2636094488794714,-0.0010984671031297744,1.0126360944887947,0.0010984671031297744,1-None
318,113.930854,22.539701,8277,0.011185501775886893,0.0005742442133085701,0.03329450873259189,0.020974575798822215,-37.002897482940575,0.012319932933769675,0.6299710251705942,0.012319932933769675,0-NightAdv
320,113.937482,22.545767,3217,0.028488659039104997,0.001050119253212251,0.08479869085552103,0.038356165136430156,-54.7679748950595,0.04644252571909087,0.45232025104940504,0.04644252571909087,0-NightAdv
322,113.961346,22.547364,8593,0.026040330138747556,0.0018178033155973258,0.0775110510529924,0.06639623447081835,-14.339654063747783,0.011114816582174045,0.8566034593625221,0.011114816582174043,0-NightAdv
323,113.916815,22.544855,3022,0.035859493817717546,0.0016589860273584181,0.10673854905947265,0.060595348413756106,-43.23011793987048,0.046143200645716545,0.5676988206012952,0.04614320064571654,0-NightAdv
325,113.940172,22.537807,5304,0.01028266145256069,0.0005797703850347245,0.030607134877453687,0.021176422164987076,-30.812138248894417,0.00943071271246661,0.6918786175110558,0.00943071271246661,0-NightAdv
328,113.938018,22.541959,4317,0.019955256613658226,0.0008381468664848509,0.05939836038619518,0.030613760790629573,-48.46025952301447,0.028784599595565605,0.5153974047698553,0.028784599595565605,0-NightAdv
329,113.932656,22.544369,2524,0.009624915533031674,0.0003803704926863828,0.028649303418448877,0.01389323487392088,-51.50585453685322,0.014756068544527998,0.4849414546314677,0.014756068544527996,0-NightAdv
331,113.933736,22.542088,6964,0.018919207251245452,0.0009260286579313447,0.05631447955229192,0.03382369003904201,-39.93784492381865,0.022490789513249912,0.6006215507618134,0.022490789513249912,0-NightAdv
332,113.934794,22.534271,5747,0.0037626354726635154,0.00027752053323797235,0.011199774682635765,0.010136585315491135,-9.49295318229043,0.0010631893671446298,0.9050704681770957,0.0010631893671446298,0-NightAdv
333,113.938,22.545061,4809,0.025231182777634253,0.0009040127487580889,0.07510256152607492,0.03301954722831367,-56.0340598811006,0.04208301429776125,0.4396594011889939,0.04208301429776125,0-NightAdv
334,113.955406,22.546689,5744,0.023002280398702845,0.001679752697568783,0.06846806168813246,0.06135386210587822,-10.390537437234546,0.007114199582254246,0.8960946256276545,0.007114199582254247,0-NightAdv
336,113.953784,22.526239,5646,0.008188781531565445,0.0003645884694696549,0.02437453979934443,0.013316788068630816,-45.36599181663738,0.011057751730713616,0.5463400818336263,0.011057751730713616,0-NightAdv
337,113.927949,22.526532,2292,0.01469806327598873,0.001184543698976416,0.0437499189486109,0.04326608962770245,-1.1058976394373545,0.00048382932090844377,0.9889410236056264,0.00048382932090844377,1-None
338,113.94703,22.539362,4919,0.03576094679616954,0.0025017101505994286,0.10644521624926524,0.09137629594577153,-14.156503067461928,0.015068920303493716,0.8584349693253808,0.015068920303493718,0-NightAdv
339,113.946376,22.521775,7110,0.014085397200324711,0.000895315956163828,0.04192627112171302,0.03270189224590823,-22.00142924474774,0.009224378875804795,0.7799857075525226,0.009224378875804795,0-NightAdv
341,113.940871,22.532998,4302,0.017322134956936668,0.0009643013289373474,0.051560670691962254,0.035221619735910245,-31.688980645085145,0.01633905095605201,0.6831101935491485,0.01633905095605201,0-NightAdv
342,113.94197,22.537178,3700,0.01598344266971535,0.0008183527743780117,0.047575949850629275,0.029890771031844364,-37.1725186240312,0.01768517881878491,0.628274813759688,0.01768517881878491,0-NightAdv
343,113.944201,22.546115,4184,0.03895823904985593,0.0018890184570335075,0.11596220323776976,0.06899740544905231,-40.50009095844832,0.046964797788717455,0.5949990904155168,0.046964797788717455,0-NightAdv
344,113.924424,22.522299,8661,0.05559782477224853,0.0043406761182593215,0.16549121349059634,0.15854550755680863,-4.197023991356728,0.00694570593378771,0.9580297600864327,0.00694570593378771,1-None
345,113.93078,22.542483,8844,0.022083470710601193,0.0011890041142213132,0.0657331537870817,0.043429008670646384,-33.931347929359,0.02230414511643531,0.66068652070641,0.022304145116435314,0-NightAdv
346,113.930444,22.536725,2765,0.013438439928662038,0.0008368377049221739,0.04000055290517117,0.03056594296714457,-23.586198821784073,0.009434609938026597,0.7641380117821592,0.009434609938026597,0-NightAdv
347,113.932185,22.544886,6366,0.010874295522974923,0.00044324338457912274,0.032368179318604265,0.016189700743550476,-49.98266481350986,0.01617847857505379,0.5001733518649014,0.01617847857505379,0-NightAdv
348,113.92607,22.548128,2109,0.05544318815854556,0.003669626415855399,0.16503092568335545,0.13403505969917393,-18.781853071377203,0.030995865984181525,0.8121814692862279,0.030995865984181522,0-NightAdv
349,113.940183,22.536368,2712,0.013435061142497005,0.0006858896781247064,0.03999049568755758,0.025052485876293853,-37.35390010659822,0.014938009811263728,0.6264609989340177,0.014938009811263727,0-NightAdv
351,113.931043,22.525118,9191,0.01934068178448846,0.0012606143237961715,0.057569031007272294,0.04604460972310368,-20.018438876820444,0.011524421284168612,0.7998156112317956,0.011524421284168614,0-NightAdv
352,113.93523,22.542834,3222,0.015374320460320657,0.000763798393785187,0.045762850615007435,0.027898143218828626,-39.03757557952535,0.01786470739617881,0.6096242442047465,0.01786470739617881,0-NightAdv
353,113.942859,22.541264,5941,0.028060649973094546,0.0019532507454992384,0.08352468885977385,0.0713435240026795,-14.5839092888389,0.012181164857094348,0.854160907111611,0.012181164857094348,0-NightAdv
354,113.95414,22.530139,8225,0.01039109085859611,0.00043237773470464506,0.03092988336727991,0.015792827093605254,-48.93990738318735,0.015137056273674655,0.5106009261681266,0.015137056273674655,0-NightAdv
356,113.942978,22.541467,6474,0.031275855552454684,0.002107525073862535,0.09309499624373531,0.07697847603018834,-17.311908119478016,0.016116520213546967,0.8268809188052199,0.016116520213546967,0-NightAdv
359,113.944521,22.545343,6054,0.04146128768545766,0.002299169833282491,0.1234127205525852,0.08397840295978014,-31.953203378255008,0.039434317592805065,0.68046796621745,0.039434317592805065,0-NightAdv
360,113.939814,22.527583,8217,0.016748359843380578,0.0009701700149564996,0.04985278481329568,0.03543597661908889,-28.918762007377047,0.014416808194206786,0.7108123799262295,0.014416808194206786,0-NightAdv
361,113.929151,22.528623,9354,0.019751834568221327,0.0015809571817631057,0.05879285897875711,0.05774530326135675,-1.7817737317024507,0.00104755571740036,0.9821822626829755,0.0010475557174003597,1-None
362,113.922887,22.523021,7238,0.04900896039035876,0.00406463811634472,0.14587895048299437,0.14846307248766827,1.7714152700701906,-0.0025841220046738944,1.0177141527007019,0.0025841220046738944,1-None
365,113.937925,22.538249,4853,0.00792270835538274,0.0004845521150281233,0.023582552469189888,0.017698524128924496,-24.95076963340907,0.005884028340265392,0.7504923036659092,0.005884028340265392,0-NightAdv
366,113.961472,22.542529,5729,0.04200027070899639,0.004430768730594379,0.12501704509192899,0.1618361882159103,29.451298498462386,-0.036819143123981324,1.2945129849846237,0.036819143123981324,3-Moderate
369,113.960974,22.528981,5872,0.004911973251073592,0.0004066789432197939,0.014620867224274373,0.01485416504452424,1.595649674340334,-0.00023329782024986666,1.0159564967434034,0.00023329782024986666,1-None
370,113.963959,22.538536,5381,0.024012022624156682,0.002408353408662805,0.07147363729990461,0.08796639121412629,23.075296762941846,-0.016492753914221683,1.2307529676294184,0.016492753914221683,3-Moderate
380,113.939581,22.548559,1005,0.10844640298909276,0.003672432851923958,0.3227990825697437,0.1341375662716048,-58.44549333791147,0.1886615162981389,0.4155450666208853,0.18866151629813893,0-NightAdv
388,113.933131,22.545235,3704,0.024729204441402926,0.0010045588203450584,0.0736083842925372,0.03669204605529179,-50.152355050385445,0.03691633823724541,0.4984764494961455,0.03691633823724541,0-NightAdv
396,113.920687,22.546622,5163,0.06296186416641404,0.0039054020724383193,0.1874108447086383,0.14264689115677398,-23.8854659779467,0.04476395355186433,0.761145340220533,0.044763953551864334,0-NightAdv
428,113.946016,22.548932,1528,0.156100575239887,0.00847076171446976,0.4646454016654915,0.30939908411133765,-33.411783910415004,0.15524631755415386,0.66588216089585,0.15524631755415386,0-NightAdv
441,113.968296,22.542509,2748,0.040346540989157374,0.0043089567468967615,0.12009459103472947,0.15738694062044925,31.05248060250725,-0.03729234958571978,1.3105248060250725,0.03729234958571978,3-Moderate
