community_id,lng,lat,population,A_i_2sfca_day,A_i_2sfca_norm_day,A_i_2sfca_night,A_i_2sfca_norm_night,TPI,accessibility_gap,accessibility_ratio,TPI_level
44,113.916034,22.537072,1449,0.04083245125748479,0.0949677440279932,0.0030977801964151303,0.07849291445029336,-17.347816088843423,0.016474829577699843,0.8265218391115657,0-Night Advantage
45,113.934175,22.530675,5994,0.018482716616828293,0.042986934326827556,0.0014373280816399275,0.03641964987694311,-15.277396615338295,0.006567284449884449,0.8472260338466171,0-Night Advantage
46,113.932532,22.536866,4556,0.019667175017798355,0.04574173691082652,0.001480892794382484,0.03752351169202937,-17.96657882672575,0.008218225218797157,0.8203342117327425,0-Night Advantage
47,113.933389,22.528056,1640,0.026883427349923255,0.06252523099980864,0.0020723233806234725,0.05250943950667011,-16.01879966372165,0.010015791493138533,0.8398120033627835,0-Night Advantage
48,113.929428,22.530791,4336,0.026900065896753443,0.06256392878080648,0.0023355659808540446,0.05917959606699763,-5.409399281278997,0.003384332713808849,0.9459060071872101,0-Night Advantage
49,113.927695,22.535372,6517,0.030496995230376817,0.0709296343341734,0.0026400356163270183,0.06689438134374148,-5.689093181307666,0.00403525299043192,0.9431090681869233,0-Night Advantage
50,113.923913,22.523738,1444,0.05668380708542402,0.13183468334720513,0.004936000482526838,0.12507054698391687,-5.130771502271495,0.0067641363632882645,0.9486922849772851,0-Night Advantage
51,113.944202,22.509304,3242,0.06689727807539046,0.15558908135030497,0.005483924209242567,0.13895407889368708,-10.69162585976364,0.016635002456617892,0.8930837414023636,0-Night Advantage
52,113.943806,22.502073,2500,0.2329804240734839,0.5418637528622088,0.016825352832777096,0.4263281759072204,-21.321886977069692,0.1155355769549884,0.7867811302293031,0-Night Advantage
53,113.909399,22.518991,8174,0.06933606742587134,0.16126119545666073,0.005458672462134723,0.1383142390407013,-14.229682690233103,0.022946956415959424,0.857703173097669,0-Night Advantage
54,113.936566,22.527584,5606,0.026513908740078643,0.06166580797541036,0.001864976053198201,0.04725558190504841,-23.368259564697702,0.01441022607036195,0.766317404353023,0-Night Advantage
55,113.925118,22.541016,6139,0.03712134516175432,0.0863364871990157,0.0026980714877309726,0.06836491972939922,-20.81572699175253,0.01797156746961648,0.7918427300824747,0-Night Advantage
56,113.936429,22.529584,4215,0.017107724838333744,0.039788990945049084,0.0013266525178367854,0.033615303858012764,-15.516068491313442,0.00617368708703632,0.8448393150868656,0-Night Advantage
57,113.946034,22.517194,5680,0.022727726745436157,0.05285994030307231,0.0014603723018214595,0.03700355444363119,-29.99698026242289,0.015856385859441123,0.7000301973757711,0-Night Advantage
58,113.942603,22.513997,1131,0.038991485546601194,0.090686042709279,0.002828185335069969,0.07166180150939035,-20.978135809582632,0.01902424119988866,0.7902186419041737,0-Night Advantage
59,113.962906,22.52795,5022,0.01317306782162768,0.03063780141581419,0.0009480024636629546,0.024020902569225355,-21.59717258031909,0.006616898846588837,0.7840282741968091,0-Night Advantage
