community_id,lng,lat,community_type,SAI,SAI_night,spatial_deprivation,TPI,TPI_deprivation,TPI_norm,SAII,vulnerability,vulnerability_weighted,deprivation_type,illusion_flag,illusion_type
280,113.939291,22.536961,commodity_housing,0.04674639025015864,0.03252585375915262,0.9532536097498414,-30.420608767663637,0.0,0.0,0.0,0.4766268048749207,0.5719521658499048,3-Spatially Isolated,0,Night Advantage
281,113.937919,22.535473,commodity_housing,0.04672796451622445,0.03510167388179002,0.9532720354837756,-24.88079837159963,0.0,0.0,0.0,0.4766360177418878,0.5719632212902653,3-Spatially Isolated,0,Night Advantage
282,113.945403,22.545178,commodity_housing,0.1266487190920559,0.09992225886129097,0.8733512809079441,-21.10282711295212,0.0,0.0,0.0,0.43667564045397206,0.5240107685447665,3-Spatially Isolated,0,Night Advantage
283,113.943172,22.53715,high_end,0.07392585236736739,0.06924641085074586,0.9260741476326326,-6.329912157613682,0.0,0.0,0.0,0.4630370738163163,0.5556444885795796,3-Spatially Isolated,0,Night Advantage
284,113.960929,22.534241,commodity_housing,0.08750269759242153,0.1021137515101217,0.9124973024075784,16.69783254655409,16.69783254655409,0.6265384980533975,0.571714689328221,0.7695179002304879,0.798113780665906,4-Dual Deprived,0,Dual Deprivation
285,113.939977,22.516545,commodity_housing,0.13328827561656711,0.11073202891915418,0.8667117243834329,-16.92290382861649,0.0,0.0,0.0,0.43335586219171646,0.5200270346300597,3-Spatially Isolated,0,Night Advantage
286,113.934709,22.545501,high_end,0.08743049155260807,0.05360544410918544,0.9125695084473919,-38.687930083373324,0.0,0.0,0.0,0.45628475422369597,0.5475417050684351,3-Spatially Isolated,0,Night Advantage
289,113.939109,22.545659,commodity_housing,0.09279308174125,0.05050597078773879,0.90720691825875,-45.57140485044696,0.0,0.0,0.0,0.453603459129375,0.54432415095525,3-Spatially Isolated,0,Night Advantage
291,113.938898,22.544131,high_end,0.07734635656852269,0.04568942882464577,0.9226536434314773,-40.92878985945694,0.0,0.0,0.0,0.46132682171573863,0.5535921860588864,3-Spatially Isolated,0,Night Advantage
292,113.935961,22.543955,commodity_housing,0.08011105149177689,0.04918422812548571,0.9198889485082231,-38.604940005644174,0.0,0.0,0.0,0.45994447425411156,0.5519333691049338,3-Spatially Isolated,0,Night Advantage
293,113.940251,22.529625,high_end,0.04352046995619728,0.041470505204616405,0.9564795300438027,-4.710346082301351,0.0,0.0,0.0,0.47823976502190135,0.5738877180262816,3-Spatially Isolated,0,Normal
294,113.956883,22.531018,commodity_housing,0.056333591752544966,0.03813135069188883,0.9436664082474551,-32.311522298476234,0.0,0.0,0.0,0.47183320412372753,0.566199844948473,3-Spatially Isolated,0,Night Advantage
295,113.936233,22.545298,high_end,0.0859891766491389,0.04792152519469116,0.9140108233508611,-44.27028253773721,0.0,0.0,0.0,0.4570054116754306,0.5484064940105167,3-Spatially Isolated,0,Night Advantage
296,113.921159,22.528697,commodity_housing,0.11864568391562266,0.12258989771954215,0.8813543160843773,3.324363494524165,3.324363494524165,0.12473724988172477,0.10993771355975361,0.503045782983051,0.5787074896033163,3-Spatially Isolated,1,Accessibility Illusion
298,113.928863,22.535157,high_end,0.07627197406470768,0.07940335797650946,0.9237280259352924,4.105549843439456,4.105549843439456,0.15404903752749377,0.1422994133325036,0.5388885317313931,0.615856430572173,3-Spatially Isolated,0,Normal
299,113.937021,22.542933,high_end,0.07219502268262215,0.04703434382020582,0.9278049773173779,-34.85098823644069,0.0,0.0,0.0,0.46390248865868894,0.5566829863904267,3-Spatially Isolated,0,Night Advantage
300,113.954338,22.520515,commodity_housing,0.019006475394312532,0.01289684615318321,0.9809935246056875,-32.144988033696976,0.0,0.0,0.0,0.4904967623028437,0.5885961147634124,3-Spatially Isolated,0,Night Advantage
301,113.925801,22.545135,commodity_housing,0.10519147764331536,0.07701401635658998,0.8948085223566846,-26.786829045476367,0.0,0.0,0.0,0.4474042611783423,0.5368851134140108,3-Spatially Isolated,0,Night Advantage
302,113.962783,22.547215,commodity_housing,0.20556265472456056,0.15938103846337026,0.7944373452754394,-22.46595633972056,0.0,0.0,0.0,0.3972186726377197,0.47666240716526365,3-Spatially Isolated,0,Night Advantage
303,113.938223,22.540155,high_end,0.06122713714897312,0.03841110306129757,0.9387728628510269,-37.26457768580841,0.0,0.0,0.0,0.46938643142551345,0.5632637177106161,3-Spatially Isolated,0,Night Advantage
304,113.949107,22.530719,commodity_housing,0.04924465727726617,0.0388548855298471,0.9507553427227339,-21.098272019481623,0.0,0.0,0.0,0.47537767136136694,0.5704532056336403,3-Spatially Isolated,0,Night Advantage
307,113.938738,22.517457,commodity_housing,0.1381789956775775,0.11607963228531347,0.8618210043224225,-15.993287028825986,0.0,0.0,0.0,0.43091050216121124,0.5170926025934535,3-Spatially Isolated,0,Night Advantage
308,113.953532,22.522833,high_end,0.024882937409937734,0.017887000121776676,0.9751170625900623,-28.11539961261577,0.0,0.0,0.0,0.48755853129503113,0.5850702375540373,3-Spatially Isolated,0,Night Advantage
309,113.942279,22.543795,high_end,0.0919178903173991,0.06976688679750565,0.908082109682601,-24.098685732890996,0.0,0.0,0.0,0.4540410548413005,0.5448492658095605,3-Spatially Isolated,0,Night Advantage
310,113.960336,22.52747,high_end,0.03568882611400859,0.03099180199304926,0.9643111738859914,-13.161049640452168,0.0,0.0,0.0,0.4821555869429957,0.5785867043315949,3-Spatially Isolated,0,Night Advantage
312,113.947359,22.521737,commodity_housing,0.04847690469109011,0.03955985966327232,0.9515230953089099,-18.394419125230804,0.0,0.0,0.0,0.47576154765445494,0.5709138571853459,3-Spatially Isolated,0,Night Advantage
314,113.944687,22.543858,high_end,0.10906168500392285,0.08567907020424252,0.8909383149960771,-21.439807021906255,0.0,0.0,0.0,0.44546915749803856,0.5345629889976462,3-Spatially Isolated,0,Night Advantage
317,113.921299,22.534307,commodity_housing,0.10816401947436008,0.11121868978323395,0.89183598052564,2.8241094623873195,2.8241094623873195,0.10596664542954053,0.0945048671296671,0.4989013129775902,0.5774882464872001,3-Spatially Isolated,1,Accessibility Illusion
318,113.930854,22.539701,commodity_housing,0.07830595559395195,0.06550321120819208,0.9216940444060481,-16.349643253378172,0.0,0.0,0.0,0.46084702220302404,0.5530164266436288,3-Spatially Isolated,0,Night Advantage
320,113.937482,22.545767,commodity_housing,0.09156228030115507,0.04874818354030317,0.9084377196988449,-46.75953528028484,0.0,0.0,0.0,0.45421885984942245,0.5450626318193069,3-Spatially Isolated,0,Night Advantage
322,113.961346,22.547364,commodity_housing,0.19109672063642086,0.1425366645529744,0.8089032793635791,-25.411245112801517,0.0,0.0,0.0,0.40445163968178954,0.4853419676181474,3-Spatially Isolated,0,Night Advantage
323,113.916815,22.544855,commodity_housing,0.11800659369809603,0.08508535599480026,0.8819934063019039,-27.897795090603434,0.0,0.0,0.0,0.44099670315095196,0.5291960437811424,3-Spatially Isolated,0,Night Advantage
325,113.940172,22.537807,high_end,0.05386788616097936,0.04333060401296495,0.9461321138390206,-19.56134331413095,0.0,0.0,0.0,0.4730660569195103,0.5676792683034123,3-Spatially Isolated,0,Night Advantage
328,113.938018,22.541959,commodity_housing,0.06543975710032172,0.04098817930948382,0.9345602428996783,-37.36501917840659,0.0,0.0,0.0,0.46728012144983916,0.560736145739807,3-Spatially Isolated,0,Night Advantage
329,113.932656,22.544369,high_end,0.08258553753493013,0.0569734049453723,0.9174144624650699,-31.012854494922916,0.0,0.0,0.0,0.45870723123253493,0.5504486774790419,3-Spatially Isolated,0,Night Advantage
331,113.933736,22.542088,commodity_housing,0.07629188632577392,0.05722002536991169,0.9237081136742261,-24.99854424155079,0.0,0.0,0.0,0.46185405683711306,0.5542248682045356,3-Spatially Isolated,0,Night Advantage
332,113.934794,22.534271,commodity_housing,0.05089302449383492,0.04623985855749819,0.9491069755061651,-9.14303282741706,0.0,0.0,0.0,0.47455348775308254,0.569464185303699,3-Spatially Isolated,0,Night Advantage
333,113.938,22.545061,high_end,0.08667576770917458,0.0473780265580675,0.9133242322908254,-45.338786364100976,0.0,0.0,0.0,0.4566621161454127,0.5479945393744952,3-Spatially Isolated,0,Night Advantage
