community_id,lng,lat,community_type,SAI,SAI_night,SAI_pct,spatial_dep,TPI,TPI_dep,TPI_dep_norm,TPI_sym,SAII,vulnerability,vuln_weighted,quadrant,deprivation_type,illusion_flag
80,113.940731,22.527673,high_end,0.05563551808084707,0.0522561830962369,24.875621890547265,0.9443644819191529,-6.074060422515467,0.0,0.0,0.15519148896823406,0.0,0.47218224095957645,0.5666186891514917,Q4-Spatial Isolated,3-Spatial Isolated,0
81,113.935071,22.505613,high_end,0.38281906095497925,0.3475712076244793,97.51243781094527,0.6171809390450207,-9.2074446979131,0.0,0.0,0.2352490678171497,0.0,0.30859046952251035,0.3703085634270124,Q2-Night Advantage,1-Night Advantage,0
82,113.929827,22.516451,commodity_housing,0.2641405942791215,0.22837859735515167,94.02985074626866,0.7358594057208785,-13.539000705881493,0.0,0.0,0.34591978553574726,0.0,0.36792970286043924,0.4415156434325271,Q2-Night Advantage,1-Night Advantage,0
83,113.928262,22.536646,commodity_housing,0.08053236373995795,0.07469843055562499,43.28358208955223,0.919467636260042,-7.244209549307351,0.0,0.0,0.18508865374265132,0.0,0.459733818130021,0.5516805817560252,Q4-Spatial Isolated,3-Spatial Isolated,0
84,113.94925,22.545066,high_end,0.13414643170595592,0.10855265714344574,81.34328358208955,0.865853568294044,-19.078982748203693,0.0,0.0,0.48746563826027556,0.0,0.432926784147022,0.5195121409764264,Q2-Night Advantage,1-Night Advantage,0
85,113.929179,22.506992,high_end,0.357496626068747,0.31624638330064037,96.51741293532339,0.642503373931253,-11.538638342330582,0.0,0.0,0.2948107757332207,0.0,0.3212516869656265,0.3855020243587518,Q2-Night Advantage,1-Night Advantage,0
86,113.942742,22.535988,high_end,0.06479747367175961,0.058170619583009835,31.343283582089555,0.9352025263282404,-10.227025396574884,0.0,0.0,0.2612992279640694,0.0,0.4676012631641202,0.5611215157969442,Q4-Spatial Isolated,3-Spatial Isolated,0
87,113.922723,22.51294,commodity_housing,0.33329436084484837,0.3272384508857638,96.01990049751244,0.6667056391551516,-1.816985425056034,0.0,0.0,0.04642375181234173,0.0,0.3333528195775758,0.4000233834930909,Q2-Night Advantage,1-Night Advantage,0
88,113.915843,22.511121,commodity_housing,0.2666862229200481,0.27593403685547807,94.5273631840796,0.7333137770799518,3.467675920477685,3.467675920477685,0.13011463954346486,0.08859868883809299,0.09541485777701468,0.43171420831170837,0.49203412206535707,Q1-Temporal Illusion,2-Temporal Illusion,1
89,113.954302,22.517191,high_end,0.013855344987385707,0.009058334783839873,2.2388059701492535,0.9861446550126143,-34.62209138720953,0.0,0.0,0.8845901324356865,0.0,0.49307232750630714,0.5916867930075685,Q4-Spatial Isolated,3-Spatial Isolated,0
90,113.931979,22.528964,high_end,0.07701721357738867,0.07483220097539506,41.04477611940299,0.9229827864226113,-2.8370444742175165,0.0,0.0,0.07248613375508382,0.0,0.46149139321130567,0.5537896718535668,Q4-Spatial Isolated,3-Spatial Isolated,0
91,113.926728,22.521339,high_end,0.20210560144082687,0.18851676550364707,91.04477611940298,0.7978943985591731,-6.723631527431159,0.0,0.0,0.1717879499762494,0.0,0.39894719927958655,0.47873663913550385,Q2-Night Advantage,1-Night Advantage,0
92,113.946542,22.521932,high_end,0.05307909496009941,0.0436723483978035,22.885572139303484,0.9469209050399006,-17.722130660605924,0.0,0.0,0.4527982360389539,0.0,0.4734604525199503,0.5681525430239404,Q4-Spatial Isolated,3-Spatial Isolated,0
93,113.93518,22.544173,commodity_housing,0.08180122835956233,0.050079487524192036,44.27860696517413,0.9181987716404376,-38.77905194275987,0.0,0.0,0.9907999580420818,0.0,0.4590993858202188,0.5509192629842625,Q4-Spatial Isolated,3-Spatial Isolated,0
95,113.933449,22.526941,high_end,0.09365652934356067,0.08256282468722262,53.73134328358209,0.9063434706564393,-11.845094767117583,0.0,0.0,0.3026406993030097,0.0,0.45317173532821964,0.5438060823938635,Q2-Night Advantage,1-Night Advantage,0
96,113.929537,22.547233,commodity_housing,0.10110569192358958,0.06625938741109491,58.95522388059702,0.8988943080764105,-34.46522529990665,0.0,0.0,0.8805822233989382,0.0,0.44944715403820523,0.5393365848458462,Q2-Night Advantage,1-Night Advantage,0
97,113.933931,22.529824,high_end,0.05912003606684843,0.05399196510077791,27.860696517412936,0.9408799639331515,-8.673998372179762,0.0,0.0,0.22161958048634933,0.0,0.47043998196657577,0.5645279783598909,Q4-Spatial Isolated,3-Spatial Isolated,0
98,113.934589,22.527362,high_end,0.08558375290616735,0.07449657622333884,48.00995024875622,0.9144162470938326,-12.954768056250476,0.0,0.0,0.33099271394060736,0.0,0.4572081235469163,0.5486497482562995,Q4-Spatial Isolated,3-Spatial Isolated,0
99,113.946851,22.517873,commodity_housing,0.056746822667203184,0.04367017451227025,25.870646766169152,0.9432531773327968,-23.043841999087956,0.0,0.0,0.5887672994049938,0.0,0.4716265886663984,0.5659519063996781,Q4-Spatial Isolated,3-Spatial Isolated,0
100,113.921203,22.512695,high_end,0.3289818468815915,0.3308879220385083,95.52238805970148,0.6710181531184085,0.579386119624668,0.579386119624668,0.02173981013227606,0.014803243355758805,0.014587807244104746,0.3463789816253423,0.4113068159239555,Q1-Temporal Illusion,2-Temporal Illusion,1
101,113.949807,22.518685,high_end,0.03017840716977775,0.024617441344047412,7.462686567164178,0.9698215928302223,-18.426969304395175,0.0,0.0,0.47080677579705943,0.0,0.48491079641511114,0.5818929556981334,Q4-Spatial Isolated,3-Spatial Isolated,0
103,113.942448,22.529059,commodity_housing,0.04680768614687125,0.042475546332242195,17.16417910447761,0.9531923138531287,-9.255188989765154,0.0,0.0,0.23646892854075863,0.0,0.4765961569265644,0.5719153883118773,Q4-Spatial Isolated,3-Spatial Isolated,0
104,113.938602,22.53472,high_end,0.04556844729160983,0.03648982704104739,15.92039800995025,0.9544315527083902,-19.923040590926647,0.0,0.0,0.5090312112502859,0.0,0.4772157763541951,0.5726589316250341,Q4-Spatial Isolated,3-Spatial Isolated,0
