community_id,lng,lat,population,community_type,SCR,BFD,EWW,SVI,WES,alpha_env,v_robust,v_elderly,v_wheelchair,AI_star_robust,AI_star_elderly,AI_star_wheelchair,occlusion_factor,sidewalk_width_proxy,building_density_500m,floor_count,illusion_level
265,113.900293,22.493648,3427,urban_village,0.3239843995104202,0.5661809935723082,4.707347670521829,0.7036278549627453,6.294661392387521,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.4,99,2,Minor
266,113.907711,22.470015,3651,high_end,0.397302198388405,0.4830645705047652,3.6465799507271663,0.6552993731783344,5.989279236988276,0.82,0.9839999999999999,0.5903999999999999,0.39359999999999995,21.95121951219514,103.25203252032522,204.87804878048786,0.0,6.459117345193295,117,20,Significant
267,113.915525,22.490917,3208,high_end,0.397302198388405,0.4830645705047652,3.6465799507271663,0.6552993731783344,5.989279236988276,0.82,0.9839999999999999,0.5903999999999999,0.39359999999999995,21.95121951219514,103.25203252032522,204.87804878048786,0.0,6.459117345193295,117,20,Significant
268,113.905891,22.48137,2382,high_end,0.3414851451182009,0.6050965348841708,4.259885858158867,0.640233715426925,6.317664203418879,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.41399416909621,109,4,Minor
269,113.890072,22.486023,4608,urban_village,0.3239843995104202,0.5661809935723082,4.707347670521829,0.7036278549627453,6.294661392387521,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.4,99,2,Minor
270,113.892155,22.479151,2164,urban_village,0.3239843995104202,0.5661809935723082,4.707347670521829,0.7036278549627453,6.294661392387521,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.4,99,2,Minor
272,113.948975,22.53361,4276,high_end,0.3139977193141667,0.6485359415813398,4.54193221380179,0.7099464538235257,6.483225919542901,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,7.500154197249121,18,6,Minor
273,113.944009,22.544643,14886,high_end,0.2654971821754527,0.6702101428412857,5.035931958638355,0.7013970908024825,6.374811085234537,0.65,0.78,0.46799999999999997,0.31200000000000006,53.84615384615383,156.41025641025647,284.6153846153845,0.0,6.6628946475048085,45,7,Severe
274,113.938497,22.521938,12392,high_end,0.23325549810395274,0.6295340333419287,4.25171811375833,0.6611775789862241,6.095956735639128,0.65,0.78,0.46799999999999997,0.31200000000000006,53.84615384615383,156.41025641025647,284.6153846153845,0.0,8.0,16,2,Severe
278,113.955947,22.542616,11480,commodity_housing,0.3264175362359375,0.6513966175500316,4.325255348979077,0.6741709444971764,6.456086041577245,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,7.077036490969407,17,28,Minor
279,113.94522,22.530008,10555,high_end,0.27597874050399096,0.6678102662169421,4.938113605947148,0.7263860216233539,6.450233930301036,0.65,0.78,0.46799999999999997,0.31200000000000006,53.84615384615383,156.41025641025647,284.6153846153845,0.0,8.0,15,9,Severe
280,113.939291,22.536961,10046,commodity_housing,0.3143364147873905,0.5353903906167046,4.0331065133356505,0.6918260530254461,6.165137326954825,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,7.760438633487979,22,1,Minor
281,113.937919,22.535473,5809,commodity_housing,0.2574952689220939,0.7633185692285998,3.544293868236864,0.5958275665928244,6.087621030671471,0.65,0.78,0.46799999999999997,0.31200000000000006,53.84615384615383,156.41025641025647,284.6153846153845,0.0,6.320484230646703,30,8,Severe
282,113.945403,22.545178,9951,commodity_housing,0.28492384200181115,0.5720503038588316,4.4762068957587555,0.7077696303911546,6.200436546434823,0.65,0.78,0.46799999999999997,0.31200000000000006,53.84615384615383,156.41025641025647,284.6153846153845,0.0,6.2559565993010935,39,12,Severe
283,113.943172,22.53715,10091,high_end,0.25447504137831645,0.5482785054234728,4.882717616123875,0.6640225936315256,5.962166574956683,0.65,0.78,0.46799999999999997,0.31200000000000006,53.84615384615383,156.41025641025647,284.6153846153845,0.0,8.0,17,11,Severe
284,113.960929,22.534241,10318,commodity_housing,0.2042148549746612,0.6762056723617625,4.0311330987135925,0.6387773258698435,6.080713397568077,0.65,0.78,0.46799999999999997,0.31200000000000006,53.84615384615383,156.41025641025647,284.6153846153845,0.0,7.402695043664334,19,2,Severe
285,113.939977,22.516545,5316,commodity_housing,0.385200630417519,0.681238788378232,4.3314455729765635,0.7075740481840872,6.7738469585663115,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,8.0,8,2,Minor
286,113.934709,22.545501,10093,high_end,0.40335309393232455,0.6065187927882743,4.504631845402105,0.6916719932875323,6.6097002503427245,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,7.480916030534352,48,1,Minor
289,113.939109,22.545659,6100,commodity_housing,0.2796711572665397,0.589082692213979,4.924987883608046,0.7573900455950577,6.326500293524681,0.65,0.78,0.46799999999999997,0.31200000000000006,53.84615384615383,156.41025641025647,284.6153846153845,0.0,8.0,35,7,Severe
291,113.938898,22.544131,7227,high_end,0.3113491151939835,0.5865833238867997,4.515262166084016,0.7273822091541303,6.35527007360721,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,8.0,34,32,Minor
292,113.935961,22.543955,6792,commodity_housing,0.31928948428583964,0.5837773822655437,4.782516497714941,0.5954170762232989,6.108146060967976,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,8.0,47,6,Minor
293,113.940251,22.529625,4719,high_end,0.32579664892869453,0.6098322032553912,4.508379434061314,0.660838165137205,6.323646785198971,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,7.30831973898858,20,31,Minor
294,113.956883,22.531018,12835,commodity_housing,0.2042148549746612,0.6762056723617625,4.0311330987135925,0.6387773258698435,6.080713397568077,0.65,0.78,0.46799999999999997,0.31200000000000006,53.84615384615383,156.41025641025647,284.6153846153845,0.0,7.402695043664334,19,2,Severe
295,113.936233,22.545298,10683,high_end,0.37586279899985076,0.6109007786694706,4.364316177954491,0.757050245135292,6.668940833943813,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,8.0,44,3,Minor
296,113.921159,22.528697,10410,commodity_housing,0.41146288892883864,0.4719200066145019,4.097309744640293,0.654769693706083,6.2237280707349365,0.82,0.9839999999999999,0.5903999999999999,0.39359999999999995,21.95121951219514,103.25203252032522,204.87804878048786,0.0,5.500353190487402,145,12,Significant
298,113.928863,22.535157,5696,high_end,0.3369389435419264,0.6510503798054234,4.470454445865427,0.6519266310219419,6.442296042183221,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,6.521132265088493,72,4,Minor
299,113.937021,22.542933,5757,high_end,0.31928948428583964,0.5837773822655437,4.782516497714941,0.5954170762232989,6.108146060967976,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,8.0,47,6,Minor
300,113.954338,22.520515,13738,commodity_housing,0.3504411361997444,0.6183850889038023,4.543750274718216,0.7041829598134707,6.505652050485679,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,8.0,1,3,Minor
301,113.925801,22.545135,9258,commodity_housing,0.3327432707252747,0.6485299231690989,4.886730318746737,0.6944569220100962,6.508468464118764,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,7.440465029064317,30,15,Minor
302,113.962783,22.547215,7642,commodity_housing,0.3264175362359375,0.6513966175500316,4.325255348979077,0.6741709444971764,6.456086041577245,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,7.077036490969407,17,28,Minor
303,113.938223,22.540155,10976,high_end,0.28790799518740995,0.6451605194452247,4.871604842156529,0.6772016306322801,6.331028545439851,0.65,0.78,0.46799999999999997,0.31200000000000006,53.84615384615383,156.41025641025647,284.6153846153845,0.0,8.0,21,2,Severe
