community_id,lng,lat,population,community_type,area_m2,A_day_raw,A_night_raw,A_day_norm,A_night_norm,TPI,accessibility_gap,accessibility_ratio,SAII,TPI_level
89,113.954302,22.517191,3168,high_end,57443.54,0.0066256145486400155,0.0004032057908385715,0.022732845462027612,0.016975908059574406,-25.324315040409058,0.005756937402453206,0.7467568495959094,0.005756937402453206,0-NightAdv
90,113.931979,22.528964,5729,high_end,103889.81,0.008818867809610914,0.0008005858720551166,0.030258017213978333,0.03370654010086639,11.397055076348295,-0.0034485228868880585,1.113970550763483,0.0034485228868880585,2-Mild
91,113.926728,22.521339,4432,high_end,80372.15,0.052485157151389655,0.003849089563504131,0.1800794413580367,0.1620556847837384,-10.008780812720964,0.018023756574298277,0.8999121918727904,0.018023756574298277,0-NightAdv
92,113.946542,22.521932,6167,high_end,111845.47,0.011809447088617153,0.0007228704988397896,0.040518858090323205,0.03043454088732559,-24.887960022264227,0.010084317202997614,0.7511203997773577,0.010084317202997614,0-NightAdv
93,113.93518,22.544173,7727,commodity_housing,98049.57,0.016295111291246132,0.0006389529688739781,0.05590941701347168,0.02690141634979497,-51.88392620278454,0.029008000663676706,0.48116073797215464,0.029008000663676706,0-NightAdv
95,113.933449,22.526941,3685,high_end,66823.18,0.014584927064762913,0.0010628744595483509,0.05004168150805803,0.044749503886432236,-10.575539154841577,0.005292177621625795,0.8942446084515843,0.005292177621625795,0-NightAdv
96,113.929537,22.547233,5048,commodity_housing,64076.27,0.0186973458301264,0.000832530139438603,0.06415161494620827,0.035051468567803105,-45.361518026952105,0.02910014637840517,0.5463848197304789,0.02910014637840517,0-NightAdv
97,113.933931,22.529824,3356,high_end,60873.42,0.005636528855434182,0.0005332744086483229,0.019339238416630454,0.02245210147629613,16.096099508183432,-0.0031128630596656756,1.1609609950818343,0.003112863059665676,2-Mild
98,113.934589,22.527362,2377,high_end,43107.48,0.01615576111253171,0.0010276481033861104,0.055431298937847866,0.04326639179560556,-21.945917514727846,0.012164907142242304,0.7805408248527216,0.012164907142242306,0-NightAdv
99,113.946851,22.517873,9162,commodity_housing,116264.93,0.00605748861651308,0.00040904818561418707,0.02078357435318187,0.017221886561897787,-17.13703201749223,0.003561687791284081,0.8286296798250777,0.0035616877912840804,0-NightAdv
100,113.921203,22.512695,1778,high_end,32277.69,0.0995826615206287,0.008715865059102039,0.34167355170254005,0.36695833062132477,7.400273972858623,-0.025284778918784723,1.0740027397285863,0.02528477891878472,2-Mild
101,113.949807,22.518685,1290,high_end,23422.81,0.005063604327225376,0.00026520177621580264,0.01737350306248897,0.011165615853165512,-35.73192572042003,0.006207887209323458,0.6426807427957997,0.006207887209323458,0-NightAdv
103,113.942448,22.529059,2673,commodity_housing,33935.61,0.01260919885522012,0.000743042950462248,0.04326285009056727,0.03128384834237692,-27.68888717020094,0.011979001748190346,0.7231111282979906,0.011979001748190346,0-NightAdv
104,113.938602,22.53472,6146,high_end,111429.88,0.008247657073133132,0.0004176026671048035,0.02829816197288741,0.01758205026634264,-37.868578591118116,0.010716111706544768,0.6213142140888189,0.01071611170654477,0-NightAdv
105,113.923467,22.535811,5470,commodity_housing,69427.39,0.030853130487229083,0.0023186836493512613,0.10585877615381621,0.09762201174929168,-7.780898952162689,0.008236764404524533,0.9221910104783732,0.00823676440452453,0-NightAdv
106,113.933694,22.527844,7392,commodity_housing,93803.36,0.012372940042906837,0.0008753091675173932,0.04245223319911793,0.03685256583387447,-13.190513062007314,0.005599667365243456,0.8680948693799269,0.005599667365243456,0-NightAdv
