lon,lat,name,shop,opening_hours,brand,amenity,addr_distr,cuisine
113.9316822,22.5200107,Zara,clothes,,Zara,,,
113.9315322,22.5196738,Lego,toys,,Lego,,,
113.9314895,22.5196423,特斯拉,car,,特斯拉,,,
113.9312512,22.5196878,周大福,jewelry,,周大福,,,
113.9311897,22.5197212,周生生,jewelry,,周生生,,,
113.9304699,22.5205361,优衣库,clothes,,优衣库,,,
113.9301834,22.5205268,Ecco,shoes,,Ecco,,,
113.9302288,22.5204998,Dior,clothes,,Dior,,,
113.9333079,22.5200621,小米之家,mobile_phone,,小米,,,
113.9328133,22.5205444,中国联通,telecommunication,,中国联通,,,
113.9359332,22.5096959,小米之家,mobile_phone,,小米,,,
113.9349767,22.5036231,小米之家,mobile_phone,,小米,,,
113.9196562,22.5081716,小米之家,mobile_phone,,小米,,,
113.9201187,22.509725,屈臣氏,chemist,,屈臣氏,,,
113.9010305,22.5165097,小米之家,mobile_phone,,小米,,,
113.9013032,22.5173066,名创优品,variety_store,,名创优品,,,
113.9019579,22.5175343,屈臣氏,chemist,,屈臣氏,,,
113.9019074,22.5173319,御蝶坊,bakery,,御蝶坊,,,
113.9345224,22.5025045,阿迪达斯,sports,,阿迪达斯,,,
113.9343306,22.5024938,Ole'精品超市,supermarket,,Ole'精品超市,,,
113.9402534,22.5224203,美宜佳,convenience,,美宜佳,,,
113.9149741,22.5384787,屈臣氏,chemist,,屈臣氏,,,
113.9150944,22.5385752,华润万家,supermarket,,华润万家,,,
113.9150706,22.5381306,安踏,clothes,,安踏,,,
113.9149086,22.5379868,小米之家,mobile_phone,,小米,,,
113.9256994,22.5290269,百果园,greengrocer,,百果园,,,
113.9262518,22.5287835,钱大妈,greengrocer,,钱大妈,,,
113.9221324,22.5190681,美宜佳,convenience,,美宜佳,,,
113.917469,22.5360326,Tissot,watches,,Tissot,,,
113.9173443,22.5359345,小米之家,mobile_phone,,小米,,,
113.8988641,22.5676217,中国福利彩票,lottery,,中国福利彩票,,,
113.9370875,22.5182769,New Balance,shoes,,New Balance,,,
113.9372662,22.519001,Hoka,sports,,Hoka,,,
113.9374095,22.5189798,The North Face,clothes,,The North Face,,,
113.9372096,22.5180349,阿迪达斯,sports,,阿迪达斯,,,
113.938439,22.5190296,无印良品,variety_store,,无印良品,,,
113.9385232,22.5189329,Saint Laurent,clothes,,Saint Laurent,,,
113.9383676,22.5189756,Abercrombie & Fitch,clothes,,Abercrombie & Fitch,,,
113.9391301,22.5179269,Polo Ralph Lauren,clothes,,Polo Ralph Lauren,,,
113.9317007,22.5209404,鲍师傅,bakery,,鲍师傅,,,
113.9091174,22.5717541,时间行者,books,,,,,
113.9211131,22.5154453,暴龙,optician,,,,,
113.9211946,22.5171761,小米之家,mobile_phone,,小米,,,
113.9214669,22.516115,名创优品,variety_store,,名创优品,,,
113.9458622,22.5863496,百果园,greengrocer,,百果园,,,
113.9935439,22.5934672,百果园,greengrocer,,百果园,,,
113.9014988,22.5635407,Saint Laurent,clothes,,Saint Laurent,,,
113.9016661,22.5633866,SK-II,cosmetics,,SK-II,,,
113.9016584,22.5632528,FANCL,cosmetics,,FANCL,,,
113.9014634,22.5636128,shu uemura,cosmetics,,shu uemura植村秀,,,
113.9014424,22.5637043,MAC Cosmetics,cosmetics,,MAC Cosmetics,,,
113.9012206,22.5638099,L'Occitane,cosmetics,,L'Occitane,,,
113.9013117,22.5632241,The Estée Lauder,cosmetics,,The Estée Lauder,,,
113.9304066,22.5200588,The Estée Lauder,cosmetics,,The Estée Lauder,,,
113.9503392,22.5446716,The Estée Lauder,cosmetics,,The Estée Lauder,,,
113.9688898,22.5404534,全家,convenience,,全家,,,
113.9710428,22.5405494,优衣库,clothes,,优衣库,,,
113.9704991,22.540219,周大福,jewelry,,周大福,,,
113.9711577,22.5400772,L'Occitane,cosmetics,,L'Occitane,,,
113.9712207,22.5402406,IWC,watches,,IWC,,,
113.9688165,22.5408949,西西弗书店,books,,西西弗书店,,,
113.9015862,22.5635779,西西弗书店,books,,西西弗书店,,,
113.9309808,22.5200587,西西弗书店,books,,西西弗书店,,,
113.9521006,22.5442988,西西弗书店,books,,西西弗书店,,,
113.9514708,22.5447525,Saint Laurent,clothes,,Saint Laurent,,,
113.9211486,22.5144666,Lego,toys,,Lego,,,
113.9586797,22.5854134,罗森,convenience,,罗森,,,
113.9094756,22.4881181,小米之家,mobile_phone,,小米,,,
113.9382318,22.5505029,小米之家,mobile_phone,,小米,,,
113.9146176,22.5366675,小米之家,mobile_phone,,小米,,,
113.9202904,22.5313615,小米之家,mobile_phone,,小米,,,
113.9207399,22.5182179,小米之家,mobile_phone,,小米,,,
113.9467132,22.5363669,小米之家,mobile_phone,,小米,,,
113.9206073,22.5149671,Blueglass酸奶,dairy,,Blueglass酸奶,,,
113.9012708,22.5621925,Blueglass酸奶,dairy,,Blueglass酸奶,,,
113.9306574,22.5205778,Sephora,cosmetics,,Sephora,,,
113.9786163,22.5625371,百果园,greengrocer,,百果园,,,
113.9466028,22.5369995,百果园,greengrocer,,百果园,,,
113.8833369,22.5458633,上汽大众,car,,上汽大众,,,
113.9514337,22.5444529,Fila,clothes,,Fila,,,
113.9456256,22.6377607,御蝶坊,bakery,,御蝶坊,,,
113.9458607,22.5860713,御蝶坊,bakery,,御蝶坊,,,
113.9462824,22.5859462,周六福,jewelry,,周六福,,,
113.9477766,22.577921,御蝶坊,bakery,,御蝶坊,,,
113.9816625,22.5369923,美宜佳,convenience,,美宜佳,,,
113.962563,22.5342907,美宜佳,convenience,,美宜佳,,,
113.9635059,22.5353418,美宜佳,convenience,,美宜佳,,,
113.9651702,22.5353566,美宜佳,convenience,,美宜佳,,,
113.9624797,22.5372097,美宜佳,convenience,,美宜佳,,,
113.9622416,22.5393501,美宜佳,convenience,,美宜佳,,,
113.9486143,22.5442092,美宜佳,convenience,,美宜佳,,,
113.9475738,22.5454301,美宜佳,convenience,,美宜佳,,,
113.9424061,22.5348345,美宜佳,convenience,,美宜佳,,,
113.9202803,22.5101134,美宜佳,convenience,,美宜佳,,,
113.9223322,22.5159207,美宜佳,convenience,,美宜佳,,,
113.9241711,22.5161478,美宜佳,convenience,,美宜佳,,,
113.9247512,22.5206501,美宜佳,convenience,,美宜佳,,,
113.9206085,22.5212429,美宜佳,convenience,,美宜佳,,,
113.9208632,22.5229828,美宜佳,convenience,,美宜佳,,,
113.9114113,22.5229067,美宜佳,convenience,,美宜佳,,,
113.9100258,22.5174896,美宜佳,convenience,,美宜佳,,,
113.9095756,22.5184829,美宜佳,convenience,,美宜佳,,,
113.9111471,22.5186397,美宜佳,convenience,,美宜佳,,,
113.934175,22.4972084,小米之家,mobile_phone,,小米,,,
113.9340069,22.497548,美宜佳,convenience,,美宜佳,,,
113.9031933,22.5640813,美宜佳,convenience,,美宜佳,,,
113.9885084,22.5404111,Incover,books,,,,,
113.9149959,22.5378913,周大福,jewelry,,周大福,,,
113.9149482,22.5382672,六福珠宝,jewelry,,六福珠宝,,,
113.9013992,22.5639825,MINISO FRIENDS,variety_store,,名创优品,,,
113.9015138,22.5636721,Gap,clothes,,Gap,,,
113.9140445,22.4930238,小米之家,mobile_phone,,小米,,,
113.9141787,22.4929818,名创优品,variety_store,,名创优品,,,
113.9067067,22.4732948,7-Eleven,convenience,,7-Eleven,,,
113.931239,22.4932509,百果园,greengrocer,,百果园,,,
113.9305293,22.493488,美宜佳,convenience,,美宜佳,,,
113.9376824,22.4929338,华润万家,supermarket,,华润万家,,,
