profile_id,road_name,n_buildings,total_floors,avg_floors,max_floors,min_floors,dominant_usage,avg_lat,avg_lng,scr_estimate,eww_estimate
PROFILE_0104,粤兴三道,7,90,12.857142857142858,14,12,Residential,87.82284522428571,48.64778713714285,0.5,2.5
PROFILE_0105,粤兴二道,4,49,12.25,13,10,Unknown,91.08873578250001,45.3861775325,0.5,2.5
PROFILE_0106,粤琴一路,8,79,9.875,28,7,Residential,22.515618395,113.92927372874999,0.65,2.5
PROFILE_0107,粤琴一路,13,130,10.0,28,2,Residential,113.92923303461538,22.515654151538463,0.65,2.5
PROFILE_0108,粤琴二路,4,8,2.0,5,1,Unknown,91.0756756925,45.3675322225,0.75,4.5
PROFILE_0109,翠溪路,5,12,2.4,8,1,Residential,22.54638286,113.93797207,0.75,4.5
PROFILE_0110,翠溪路,16,36,2.25,7,1,Residential,113.93796001125,22.546195259375,0.75,4.5
PROFILE_0111,铜鼓路,7,359,51.285714285714285,63,43,Residential,22.549556497142856,113.9507821842857,0.3,1.5
PROFILE_0112,铜鼓路,17,779,45.8235294117647,63,1,Residential,113.95016682352941,22.549522145294116,0.3,1.5
PROFILE_0113,青梧路,11,98,8.909090909090908,15,1,Residential,22.552503083636363,113.94707194000001,0.65,2.5
PROFILE_0114,青梧路,34,283,8.323529411764707,15,1,Residential,113.94684970117648,22.551955525,0.65,2.5
PROFILE_0115,高新中一道,10,41,4.1,13,1,Industrial,22.552982772,113.93536989500001,0.75,3.5
PROFILE_0116,高新中一道,30,125,4.166666666666667,13,1,Industrial,113.93519401666667,22.55314089366666,0.75,3.5
PROFILE_0117,高新中三道,4,27,6.75,18,3,Unknown,68.2388964775,68.239041575,0.65,3.5
PROFILE_0118,高新中二道,10,110,11.0,25,1,Residential,22.549365821000002,113.932081939,0.5,2.5
PROFILE_0119,高新中二道,32,322,10.0625,25,1,Other,113.932617436875,22.549139134375,0.5,2.5
PROFILE_0120,高新中区科技中二路,3,15,5.0,5,5,Residential,83.47030005333333,53.00753993666667,0.75,3.5
PROFILE_0121,高新中四道,8,46,5.75,8,1,Residential,22.545823748750003,113.93344096125,0.65,3.5
PROFILE_0122,高新中四道,30,220,7.333333333333333,30,1,Residential,113.93343286,22.545920458,0.65,3.5
PROFILE_0123,高新南一道,17,180,10.588235294117647,28,2,Residential,97.81582899529411,38.67180653176471,0.5,2.5
PROFILE_0124,高新南七道,3,47,15.666666666666666,28,8,Residential,22.537092256666668,113.94442538666668,0.5,1.5
PROFILE_0125,高新南七道,24,238,9.916666666666666,31,1,Other,113.94321678791668,22.536952675833334,0.65,2.5
PROFILE_0126,高新南九道,8,176,22.0,41,9,Residential,22.529918340000002,113.9383330725,0.3,1.5
PROFILE_0127,高新南九道,20,369,18.45,41,2,Residential,113.93956618299997,22.530303300499998,0.5,1.5
PROFILE_0128,高新南六道,6,147,24.5,27,22,Other,83.47825531666668,53.008547283333336,0.3,1.5
PROFILE_0129,高新南十道,4,60,15.0,30,2,Residential,22.528145637499996,113.9352632425,0.5,2.5
PROFILE_0130,高新南十道,15,297,19.8,56,2,Residential,113.94058039,22.528748757333332,0.5,1.5
PROFILE_0131,高新南四道,17,114,6.705882352941177,36,1,Other,103.18830885764706,33.29242488529412,0.65,3.5
PROFILE_0132,高新南环路,4,66,16.5,26,1,Residential,22.527504395,113.9467723325,0.5,1.5
PROFILE_0133,高新南环路,63,996,15.80952380952381,40,1,Residential,113.94463383476189,22.527698476825403,0.5,1.5
PROFILE_0134,龙商街,5,27,5.4,8,1,Residential,95.644021446,40.79733568,0.65,3.5
PROFILE_0135,龙城路,25,242,9.68,34,1,Residential,22.5158374516,113.9251907576,0.65,2.5
PROFILE_0136,龙城路,41,327,7.975609756097561,34,1,Residential,113.92527951439027,22.51570090707317,0.65,3.5
PROFILE_0137,Mixed,224,1188,5.303571428571429,14,1,Residential,22.513803515401783,113.9260573253125,0.65,3.5
PROFILE_0138,Mixed,90,503,5.588888888888889,12,1,Residential,22.528135693444444,113.92994062888887,0.65,3.5
PROFILE_0139,Mixed,9,111,12.333333333333334,64,2,Industrial,22.52902462666667,113.93841215444445,0.5,2.5
PROFILE_0140,Mixed,4,9,2.25,3,2,Residential,22.5290495775,113.946464305,0.75,4.5
PROFILE_0141,Mixed,403,2256,5.598014888337469,64,1,Residential,113.92682269436725,22.512237165136476,0.65,3.5
PROFILE_0142,Mixed,211,1077,5.104265402843602,12,1,Residential,113.92916354483413,22.52918149322275,0.65,3.5
PROFILE_0143,Mixed,23,68,2.9565217391304346,10,1,Residential,113.93966944086951,22.535252540434787,0.75,4.5
PROFILE_0144,Mixed,31,148,4.774193548387097,12,1,Industrial,113.93717774741937,22.54595365483871,0.75,3.5
