community_id,lng,lat,population,community_type,A_day_raw,A_night_raw,A_day_norm,A_night_norm,TPI,accessibility_gap,accessibility_ratio,SAII,TPI_level,ADI_day,ADI_night,lisa_cluster_day,vulnerability_level,MVI
264,113.885603,22.483066,2612,urban_village,0.0334620988290874,0.0011563552090178,0.1148102890580738,0.0486852623611176,-57.59503546194242,0.0661250266969562,0.4240496453805757,0.0661250266969562,0-NightAdv,0.8851897109419262,0.9513147376388824,LL,0-NightAdv,0.0
265,113.900293,22.493648,5764,urban_village,0.0149710349495204,0.0012643938159131,0.0513664387530541,0.0532339407263861,3.6356461897428463,-0.001867501973332,1.0363564618974284,0.001867501973332,1-None,0.9486335612469459,0.9467660592736139,ns,1-None,3.6356461897428463
266,113.907711,22.470015,1808,high_end,0.0099233527418575,0.0008462242285718,0.0340475653525815,0.0356280217904204,4.641907347771685,-0.0015804564378388,1.0464190734777168,0.0015804564378388,1-None,0.9659524346474185,0.9643719782095796,ns,1-None,4.641907347771685
267,113.915525,22.490917,2321,high_end,0.0865743662352752,0.0070449098883881,0.297041379958251,0.2966072047341831,-0.1461665792587146,0.0004341752240678,0.9985383342074128,0.0004341752240678,1-None,0.702958620041749,0.7033927952658169,ns,1-None,0.0
268,113.905891,22.48137,2336,high_end,0.020468343024526,0.0026049285856583,0.0702280030666485,0.1096735939231531,56.16789476281935,-0.0394455908565046,1.5616789476281934,0.0394455908565046,4-Severe,0.9297719969333516,0.8903264060768469,HH,4-Severe,56.16789476281935
269,113.890072,22.486023,3323,urban_village,0.0071353646914819,0.0001873265625338,0.02448182604887,0.0078868869816485,-67.78472747128843,0.0165949390672214,0.3221527252871156,0.0165949390672214,0-NightAdv,0.97551817395113,0.9921131130183515,LL,0-NightAdv,0.0
270,113.892155,22.479151,4906,urban_village,0.0254803636170732,0.0014991790829179,0.0874245195175279,0.0631189503095262,-27.80177614030649,0.0243055692080016,0.721982238596935,0.0243055692080016,0-NightAdv,0.9125754804824721,0.9368810496904738,LH,0-NightAdv,0.0
272,113.948975,22.53361,4028,high_end,0.0198892135203078,0.0012189726859019,0.0682409781008517,0.051321604781435,-24.793568014825247,0.0169193733194166,0.7520643198517475,0.0169193733194166,0-NightAdv,0.9317590218991483,0.948678395218565,LH,0-NightAdv,0.0
273,113.944009,22.544643,1946,high_end,0.0272335804903357,0.0016136763523915,0.093439902384839,0.0679395534948448,-27.29064162007483,0.0255003488899941,0.7270935837992517,0.0255003488899941,0-NightAdv,0.906560097615161,0.9320604465051552,LH,0-NightAdv,0.0
274,113.938497,22.521938,6726,high_end,0.0266623696711467,0.0015492464212537,0.0914800468599614,0.0652269025058662,-28.69821918028069,0.0262531443540952,0.7130178081971931,0.0262531443540952,0-NightAdv,0.9085199531400386,0.9347730974941338,LH,0-NightAdv,0.0
278,113.955947,22.542616,9548,commodity_housing,0.0356070650884482,0.0027470588789765,0.1221697854696667,0.115657612125948,-5.330428729725145,0.0065121733437186,0.9466957127027484,0.0065121733437186,0-NightAdv,0.8778302145303333,0.884342387874052,ns,0-NightAdv,0.0
279,113.94522,22.530008,3207,high_end,0.0153298104155735,0.0007972179151352,0.0525974169763537,0.033564741227142,-36.18557116173256,0.0190326757492116,0.6381442883826745,0.0190326757492116,0-NightAdv,0.9474025830236463,0.966435258772858,LL,0-NightAdv,0.0
280,113.939291,22.536961,5051,commodity_housing,0.0097537017771085,0.0005343462286157,0.0334654836247946,0.0224972276070139,-32.774831945516084,0.0109682560177806,0.6722516805448391,0.0109682560177806,0-NightAdv,0.9665345163752054,0.9775027723929861,LL,0-NightAdv,0.0
281,113.937919,22.535473,4975,commodity_housing,0.0095753798121094,0.0005969050670514,0.0328536512214681,0.0251311012113331,-23.50591098102584,0.0077225500101349,0.7649408901897417,0.0077225500101349,0-NightAdv,0.9671463487785319,0.9748688987886669,LH,0-NightAdv,0.0
282,113.945403,22.545178,5355,commodity_housing,0.0336839559732649,0.0019461617420895,0.1155714930394116,0.0819379670467108,-29.101922202589552,0.0336335259927007,0.7089807779741044,0.0336335259927007,0-NightAdv,0.8844285069605884,0.9180620329532891,LH,0-NightAdv,0.0
283,113.943172,22.53715,6124,high_end,0.0167860702958976,0.000911770989689,0.0575939241786559,0.0383876939370274,-33.34766733735826,0.0192062302416285,0.6665233266264173,0.0192062302416285,0-NightAdv,0.9424060758213441,0.9616123060629727,LL,0-NightAdv,0.0
284,113.960929,22.534241,3942,commodity_housing,0.0195533828247194,0.0010264746590091,0.0670887246384489,0.0432169870392522,-35.582339249769674,0.0238717375991967,0.6441766075023033,0.0238717375991967,0-NightAdv,0.9329112753615512,0.9567830129607477,LL,0-NightAdv,0.0
285,113.939977,22.516545,2818,commodity_housing,0.0372424249601196,0.0022685203860322,0.1277807945261982,0.0955100208865111,-25.25479181699,0.0322707736396871,0.7474520818301,0.0322707736396871,0-NightAdv,0.8722192054738018,0.9044899791134889,LH,0-NightAdv,0.0
286,113.934709,22.545501,6757,high_end,0.0207845008540711,0.0008217545535027,0.0713127578509626,0.0345977911646237,-51.48442970480806,0.0367149666863388,0.4851557029519194,0.0367149666863388,0-NightAdv,0.9286872421490374,0.9654022088353763,LL,0-NightAdv,0.0
289,113.939109,22.545659,8870,commodity_housing,0.0296161254888204,0.0009817198437899,0.1016145444288736,0.041332704507488,-59.32402714611455,0.0602818399213856,0.4067597285388544,0.0602818399213856,0-NightAdv,0.8983854555711264,0.958667295492512,LL,0-NightAdv,0.0
291,113.938898,22.544131,3422,high_end,0.0191136813949078,0.0006178622767593,0.0655800850126516,0.0260134488196004,-60.333310311229496,0.0395666361930511,0.396666896887705,0.0395666361930511,0-NightAdv,0.9344199149873484,0.9739865511803996,LL,0-NightAdv,0.0
292,113.935961,22.543955,3500,commodity_housing,0.017943139739395,0.0007551521158372,0.0615638926479597,0.031793672563047,-48.356623995736456,0.0297702200849127,0.5164337600426354,0.0297702200849127,0-NightAdv,0.9384361073520403,0.968206327436953,LL,0-NightAdv,0.0
293,113.940251,22.529625,3639,high_end,0.0129550999367496,0.0007725371133868,0.0444496555972614,0.0325256216737094,-26.825930962413658,0.011924033923552,0.7317406903758634,0.011924033923552,0-NightAdv,0.9555503444027386,0.9674743783262906,LH,0-NightAdv,0.0
294,113.956883,22.531018,10870,commodity_housing,0.0082894249640389,0.0003503880697303,0.0284414698882913,0.0147521583074061,-48.1315193435932,0.0136893115808852,0.5186848065640679,0.0136893115808852,0-NightAdv,0.9715585301117087,0.9852478416925939,LL,0-NightAdv,0.0
295,113.936233,22.545298,6797,high_end,0.0136427346422532,0.0005339689067667,0.0468089678361159,0.0224813414735226,-51.972148686908426,0.0243276263625933,0.4802785131309157,0.0243276263625933,0-NightAdv,0.9531910321638841,0.9775186585264773,LL,0-NightAdv,0.0
296,113.921159,22.528697,11647,commodity_housing,0.0316895422008483,0.002652784044186,0.1087285504349416,0.1116884207995861,2.722256806334962,-0.0029598703646445,1.0272225680633496,0.0029598703646445,1-None,0.8912714495650584,0.8883115792004139,ns,1-None,2.722256806334962
298,113.928863,22.535157,7996,high_end,0.0144405464834208,0.0009284415357788,0.0495463038462168,0.0390895629680615,-21.10498678289149,0.0104567408781553,0.7889501321710851,0.0104567408781553,0-NightAdv,0.9504536961537832,0.9609104370319385,LH,0-NightAdv,0.0
299,113.937021,22.542933,5367,high_end,0.0161650444622248,0.0007221521029794,0.0554631506177779,0.0304042947392001,-45.18108978566658,0.0250588558785777,0.5481891021433343,0.0250588558785777,0-NightAdv,0.9445368493822222,0.9695957052607999,LL,0-NightAdv,0.0
